profile	date	depth	temperature	salinity	density	chlorophyll
4	10/2/2015	2.8552048	28.785	40.362	26.17200829	0.0462
4	10/2/2015	4.078864	28.783	40.363	26.17343937	0.0336
4	10/2/2015	6.118296	28.78	40.363	26.17445559	0.0336
4	10/2/2015	8.157728	28.781	40.363	26.17411685	0.0336
4	10/2/2015	10.19716	28.78	40.363	26.17445559	0.0336
4	10/2/2015	12.236592	28.772	40.362	26.17641159	0.0378
4	10/2/2015	14.276024	28.767	40.362	26.17810485	0.0441
4	10/2/2015	16.315456	28.753	40.361	26.18209141	0.0525
4	10/2/2015	18.354888	28.746	40.36	26.18370734	0.0504
4	10/2/2015	20.39432	28.729	40.357	26.18719958	0.0588
4	10/2/2015	22.433752	28.699	40.351	26.19282501	0.0588
4	10/2/2015	24.473184	28.624	40.339	26.20911978	0.0609
4	10/2/2015	26.512616	28.478	40.317	26.24174368	0.0651
4	10/2/2015	28.552048	28.368	40.302	26.26740492	0.0756
4	10/2/2015	30.59148	28.34	40.302	26.27680144	0.0714
4	10/2/2015	32.7328836	28.299	40.295	26.28527171	0.0735
4	10/2/2015	34.7723156	28.238	40.294	26.30495037	0.0861
4	10/2/2015	36.709776	28.055	40.277	26.35326253	0.0987
4	10/2/2015	38.749208	27.534	40.224	26.4859615	0.1113
4	10/2/2015	40.78864	26.668	40.165	26.72398862	0.1302
4	10/2/2015	42.828072	26.451	40.162	26.79165876	0.1449
4	10/2/2015	44.867504	26.267	40.161	26.84993094	0.1554
4	10/2/2015	46.906936	26.033	40.159	26.92312224	0.1596
4	10/2/2015	48.946368	25.954	40.158	26.94749383	0.1722
4	10/2/2015	50.9858	25.902	40.161	26.96627943	0.1911
4	10/2/2015	53.025232	25.867	40.162	26.97814087	0.2058
4	10/2/2015	55.064664	25.806	40.164	26.99898665	0.2142
4	10/2/2015	57.104096	25.725	40.167	27.0268852	0.2184
4	10/2/2015	59.143528	25.634	40.172	27.0594042	0.2583
4	10/2/2015	61.2849316	25.568	40.182	27.08777852	0.2667
4	10/2/2015	63.222392	25.459	40.186	27.12509073	0.3003
4	10/2/2015	65.261824	25.35	40.188	27.16079935	0.3276
4	10/2/2015	67.301256	25.158	40.193	27.22460202	0.3444
4	10/2/2015	69.340688	24.901	40.201	27.31056376	0.3318
4	10/2/2015	71.38012	24.621	40.21	27.40387023	0.3234
4	10/2/2015	73.419552	24.57	40.213	27.42183425	0.3255
4	10/2/2015	75.458984	24.443	40.222	27.46764443	0.3696
4	10/2/2015	77.498416	24.32	40.228	27.50983548	0.4095
4	10/2/2015	79.537848	24.126	40.233	27.57276073	0.4158
4	10/2/2015	81.57728	23.984	40.236	27.61813724	0.4431
4	10/2/2015	83.616712	23.909	40.236	27.64083818	0.4452
4	10/2/2015	85.656144	23.86	40.237	27.65640575	0.4977
4	10/2/2015	87.695576	23.782	40.24	27.6822188	0.6321
4	10/2/2015	89.735008	23.696	40.242	27.70963213	0.7455
4	10/2/2015	91.77444	23.674	40.242	27.71624698	0.7644
4	10/2/2015	93.813872	23.651	40.239	27.72087877	0.7245
4	10/2/2015	95.853304	23.632	40.237	27.72506527	0.7203
4	10/2/2015	97.892736	23.532	40.247	27.76265343	0.7182
4	10/2/2015	99.932168	23.449	40.255	27.79356697	0.6489
4	10/2/2015	101.9716	23.398	40.265	27.81640198	0.5964
4	10/2/2015	104.011032	23.354	40.276	27.83789167	0.5901
4	10/2/2015	106.050464	23.272	40.281	27.8661173	0.5145
4	10/2/2015	108.089896	23.227	40.28	27.87873804	0.462
4	10/2/2015	110.129328	23.117	40.289	27.9182274	0.3948
4	10/2/2015	112.16876	23.068	40.296	27.93806403	0.3738
4	10/2/2015	114.208192	23.035	40.3	27.95087	0.3444
4	10/2/2015	116.247624	23.005	40.306	27.96430307	0.3192
4	10/2/2015	118.287056	22.956	40.315	27.98562107	0.3066
4	10/2/2015	120.326488	22.907	40.32	28.00387777	0.3087
4	10/2/2015	122.36592	22.876	40.325	28.01681639	0.2898
4	10/2/2015	124.405352	22.851	40.333	28.03026527	0.2499
4	10/2/2015	126.444784	22.812	40.344	28.0501105	0.21
4	10/2/2015	128.484216	22.765	40.356	28.07305609	0.1785
4	10/2/2015	130.523648	22.745	40.361	28.08273445	0.1617
4	10/2/2015	132.56308	22.736	40.364	28.08765971	0.1659
4	10/2/2015	134.602512	22.733	40.364	28.08854011	0.1764
4	10/2/2015	136.641944	22.729	40.364	28.08971387	0.1743
4	10/2/2015	138.681376	22.723	40.365	28.09223552	0.1743
4	10/2/2015	140.720808	22.709	40.367	28.09786458	0.1743
4	10/2/2015	142.76024	22.653	40.375	28.12036632	0.1512
4	10/2/2015	144.799672	22.625	40.378	28.13084709	0.1596
4	10/2/2015	146.839104	22.558	40.387	28.15728913	0.1512
4	10/2/2015	148.9805076	22.529	40.392	28.16956492	0.1407
4	10/2/2015	150.917968	22.522	40.393	28.17236955	0.1533
4	10/2/2015	152.9574	22.504	40.397	28.18066775	0.1428
4	10/2/2015	154.996832	22.469	40.405	28.19696571	0.1323
4	10/2/2015	157.036264	22.441	40.411	28.20969308	0.1449
4	10/2/2015	159.075696	22.422	40.416	28.21903357	0.1386
4	10/2/2015	161.115128	22.41	40.419	28.22481124	0.1365
4	10/2/2015	163.15456	22.396	40.421	28.23040798	0.126
4	10/2/2015	165.193992	22.384	40.424	28.2361834	0.126
4	10/2/2015	167.233424	22.352	40.432	28.25157952	0.1155
4	10/2/2015	169.272856	22.323	40.439	28.26533549	0.0903
4	10/2/2015	171.312288	22.296	40.446	28.27850518	0.063
4	10/2/2015	173.35172	22.288	40.448	28.28234988	0.0504
4	10/2/2015	175.391152	22.274	40.452	28.28945796	0.0357
4	10/2/2015	177.430584	22.257	40.456	28.29743426	0.0357
4	10/2/2015	179.470016	22.246	40.459	28.30290804	0.0378
4	10/2/2015	181.509448	22.231	40.461	28.3087777	0.0399
4	10/2/2015	183.54888	22.203	40.467	28.32145712	0.0273
4	10/2/2015	185.588312	22.195	40.468	28.32453446	0.0273
4	10/2/2015	187.627744	22.196	40.468	28.32424507	0.0252
